iter	Passed	Remaining
468	667	755
469	668	754
470	669	752
471	670	750
472	671	747
473	672	745
474	672	743
475	673	741
476	674	739
477	675	737
478	676	735
479	676	733
480	677	731
481	678	729
482	679	727
483	680	725
484	681	723
485	682	722
486	684	721
487	685	719
488	687	718
489	688	716
490	689	714
491	689	712
492	690	710
493	691	708
494	692	706
495	692	703
496	693	701
497	694	699
498	694	697
499	695	695
500	696	693
501	697	691
502	698	689
503	699	688
504	700	686
505	700	684
506	701	681
507	701	679
508	702	677
509	703	675
510	704	673
511	704	671
512	705	669
513	706	667
514	706	665
515	707	663
516	708	661
517	708	659
518	709	657
519	710	655
520	710	653
521	711	651
522	712	649
523	713	648
524	714	646
525	714	644
526	715	642
527	716	640
528	717	638
529	717	636
530	718	634
531	719	632
532	719	630
533	720	628
534	721	626
535	721	624
536	722	622
537	723	620
538	723	619
539	724	617
540	725	615
541	725	613
542	726	611
543	727	609
544	728	608
545	728	606
546	729	604
547	730	602
548	730	600
549	731	598
550	732	596
551	733	594
552	733	593
553	734	591
554	735	589
555	735	587
556	736	585
557	737	583
558	737	581
559	738	580
560	739	578
561	739	576
562	740	574
563	741	572
564	741	571
565	742	569
566	743	567
567	744	566
568	744	564
569	745	562
570	746	560
571	746	558
572	747	557
573	748	555
574	749	553
575	749	551
576	750	550
577	751	548
578	751	546
579	752	544
580	753	543
581	753	541
582	754	539
583	755	537
584	755	536
585	756	534
586	757	532
587	758	531
588	759	529
589	759	528
590	760	526
591	761	524
592	761	522
593	762	521
594	763	519
595	763	517
596	764	516
597	765	514
598	765	512
599	766	511
600	767	509
601	767	507
602	768	505
603	769	504
604	769	502
605	770	500
606	771	499
607	771	497
608	772	495
609	773	494
610	774	492
611	775	491
612	775	489
613	776	488
614	777	486
615	777	484
616	778	483
617	779	481
618	779	479
619	780	478
620	780	476
621	781	474
622	782	473
623	782	471
624	783	470
625	784	468
626	784	466
627	785	465
628	786	463
629	787	462
630	788	460
631	788	459
632	789	457
633	790	456
634	790	454
635	791	452
636	792	451
637	792	449
638	793	448
639	793	446
640	794	445
641	795	443
642	796	441
643	796	440
644	797	438
645	798	437
646	798	435
647	799	434
648	800	432
649	800	431
650	801	429
651	802	428
652	803	427
653	804	425
654	805	424
655	806	423
656	807	421
657	808	420
658	809	418
659	809	417
660	810	415
661	811	414
662	812	413
663	813	411
664	814	410
665	815	408
666	816	407
667	816	405
668	817	404
669	818	403
670	819	401
671	820	400
672	821	399
673	822	397
674	822	396
675	823	394
676	824	393
677	825	392
678	826	390
679	827	389
680	828	387
681	829	386
682	830	385
683	831	384
684	832	382
685	833	381
686	834	380
687	835	378
688	836	377
689	837	376
690	837	374
691	838	373
692	839	371
693	840	370
694	840	369
695	841	367
696	842	366
697	843	364
698	844	363
699	844	362
700	845	360
701	846	359
702	847	358
703	848	356
704	849	355
705	850	353
706	850	352
707	851	351
708	852	349
709	852	348
710	853	346
711	854	345
712	854	344
713	855	342
714	856	341
715	857	339
716	857	338
717	858	337
718	859	335
719	859	334
720	860	332
721	861	331
722	862	330
723	863	329
724	864	327
725	865	326
726	866	325
727	866	323
728	867	322
729	868	321
730	868	319
731	869	318
732	870	317
733	871	315
734	871	314
735	872	313
736	873	311
737	874	310
738	875	309
739	876	307
740	877	306
741	878	305
742	879	304
743	880	302
744	881	301
745	881	300
746	882	298
747	883	297
748	885	296
749	886	295
750	886	294
751	887	292
752	888	291
753	889	290
754	890	288
755	891	287
756	892	286
757	893	285
758	894	284
759	895	282
760	896	281
761	897	280
762	897	278
763	898	277
764	900	276
765	901	275
766	902	274
767	902	272
768	903	271
769	904	270
770	904	268
771	906	267
772	908	266
773	909	265
774	910	264
775	911	263
776	912	261
777	913	260
778	913	259
779	914	258
780	915	256
781	916	255
782	917	254
783	918	252
784	918	251
785	919	250
786	921	249
787	922	248
788	923	247
789	924	245
790	925	244
791	926	243
792	927	242
793	928	240
794	929	239
795	930	238
796	930	237
797	931	235
798	933	234
799	934	233
800	935	232
801	936	231
802	938	230
803	939	229
804	940	227
805	941	226
806	941	225
807	942	224
808	943	222
809	944	221
810	945	220
811	946	219
812	946	217
813	947	216
814	948	215
815	949	214
816	951	213
817	952	212
818	953	210
819	954	209
820	955	208
821	956	207
822	956	205
823	957	204
824	958	203
825	959	202
826	960	200
827	961	199
828	962	198
829	964	197
830	966	196
831	967	195
832	967	194
833	968	192
834	969	191
835	970	190
836	971	189
837	972	187
838	972	186
839	973	185
840	974	184
841	975	182
842	975	181
843	976	180
844	977	179
845	978	178
846	980	177
847	981	175
848	982	174
849	982	173
850	983	172
851	984	171
852	985	169
853	986	168
854	987	167
855	987	166
856	988	164
857	989	163
858	989	162
859	990	161
860	991	160
861	991	158
862	992	157
863	993	156
864	994	155
865	996	154
866	997	153
867	998	151
868	999	150
869	1000	149
870	1001	148
871	1002	147
872	1002	145
873	1003	144
874	1004	143
875	1005	142
876	1006	141
877	1006	139
878	1007	138
879	1010	137
880	1012	136
881	1014	135
882	1015	134
883	1016	133
884	1016	132
885	1017	130
886	1018	129
887	1019	128
888	1020	127
889	1020	126
890	1021	124
891	1022	123
892	1023	122
893	1025	121
894	1027	120
895	1028	119
896	1029	118
897	1030	117
898	1030	115
899	1031	114
900	1032	113
901	1033	112
902	1033	111
903	1034	109
904	1035	108
905	1036	107
906	1036	106
907	1038	105
908	1040	104
909	1041	103
910	1042	101
911	1043	100
912	1043	99
913	1044	98
914	1045	97
915	1045	95
916	1046	94
917	1047	93
918	1048	92
919	1048	91
920	1049	90
921	1050	88
922	1050	87
923	1051	86
924	1052	85
925	1055	84
926	1057	83
927	1058	82
928	1059	80
929	1060	79
930	1061	78
931	1062	77
932	1062	76
933	1063	75
934	1064	73
935	1064	72
936	1065	71
937	1066	70
938	1066	69
939	1068	68
940	1068	67
941	1069	65
942	1070	64
943	1071	63
944	1072	62
945	1072	61
946	1073	60
947	1074	58
948	1074	57
949	1075	56
950	1076	55
951	1076	54
952	1077	53
953	1078	51
954	1078	50
955	1079	49
956	1080	48
957	1080	47
958	1081	46
959	1082	45
960	1083	43
961	1084	42
962	1085	41
963	1085	40
964	1086	39
965	1087	38
966	1087	37
967	1088	35
968	1089	34
969	1089	33
970	1090	32
971	1091	31
972	1091	30
973	1092	29
974	1093	28
975	1093	26
976	1094	25
977	1095	24
978	1095	23
979	1096	22
980	1097	21
981	1098	20
982	1099	19
983	1099	17
984	1100	16
985	1100	15
986	1101	14
987	1102	13
988	1102	12
989	1103	11
990	1104	10
991	1104	8
992	1105	7
993	1106	6
994	1106	5
995	1107	4
996	1108	3
997	1108	2
998	1109	1
999	1110	0
